Project,Country,City,Headquarters Type,Source Used,Evidence/Notes
Vaulta (prev. EOS) (EOS),Canada,Calgary,Foundation Location,"Vaulta Foundation. (n.d.). Vaulta Foundation [LinkedIn page]. LinkedIn. Retrieved June 10, 2026, from https://www.linkedin.com/company/vaulta-foundation","The Vaulta Foundation LinkedIn page lists the organization’s headquarters as Calgary, Alberta, Canada. This replaces the prior X-profile evidence because LinkedIn provides a specific headquarters field and city-level location."
FTX Token (FTT),Antigua and Barbuda,Saint John's,Legal Headquarters,"U.S. Securities and Exchange Commission. (2021, November 2). Form D: Notice of exempt offering of securities, FTX Trading Ltd. https://www.sec.gov/Archives/edgar/data/1876386/000187638621000002/xslFormDX01/primary_doc.xml","The SEC Form D filing for FTX Trading Ltd. lists the jurisdiction of incorporation/organization as Antigua and Barbuda and gives Saint John's, Antigua and Barbuda as the principal place of business/contact location. Because the research protocol prioritizes legal headquarters where available, this legal filing is used as the verified location evidence."
pump.fun (PUMP),United States,Solana Beach,Operational Headquarters,"PitchBook. (n.d.). Pump.fun company profile. PitchBook. Retrieved June 10, 2026, from https://pitchbook.com/profiles/company/593602-12","PitchBook states that Pump.Fun is headquartered in Solana Beach, CA. This is considered the operational headquarters."
Terra Classic (LUNC),Not Verified,Not Verified,Unknown,"Terra Classic. (n.d.). Terra Classic. Retrieved June 10, 2026, from https://terra-classic.money/","The Terra Classic official website states that it is a community-governed, decentralized network with no single company or central authority. Therefore, a traditional headquarters location cannot be identified."
UNUS SED LEO (LEO),Taiwan,Taipei,Operational Headquarters,"Crunchbase. (n.d.). Bitfinex company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/bitfinex","Crunchbase profile for Bitfinex, the parent company of UNUS SED LEO, lists Taipei, Taiwan as its headquarters. This indicates the operational headquarters for the project."
Celsius (CEL),United States,Wilmington,Legal Headquarters,"Celsius Network LLC. (n.d.). Celsius Network. Retrieved June 10, 2026, from https://celsius.network/","The official Celsius Network website lists a registered office for legal, regulatory, and compliance matters at 1209 Orange Street, Wilmington, Delaware 19801. This official legal-contact address is used as the verified legal-headquarters evidence."
Flow (FLOW),Canada,Vancouver,Operational Headquarters,"GlobalData. (n.d.). Dapper Labs Inc company profile. GlobalData. Retrieved June 10, 2026, from https://www.globaldata.com/company-profile/dapper-labs-inc/","Multiple sources confirm Dapper Labs, the creator of Flow, is headquartered in Vancouver, British Columbia, Canada. This is considered the operational headquarters for the Flow project."
World Liberty Financial (WLFI),United States,Not Verified,Legal Headquarters,"World Liberty Financial. (n.d.). Gold paper [PDF]. Retrieved June 10, 2026, from https://static.worldlibertyfinancial.com/docs/intl/gold-paper.pdf","The Gold Paper states: 'WLF, a Delaware nonstock corporation owns, is developing and will operate the WLF Protocol... By design, World Liberty Financial is not organized offshore. World Liberty Financial is an American, tax-paying, corporation that aims to bring DeFi to its rightful home – America.' This indicates the legal headquarters is in the United States. While Delaware is mentioned as the state of incorporation, a specific city is not provided."
BitDAO (BIT),Not Verified,Not Verified,Unknown,"BitDAO. (n.d.). BitDAO documentation. Retrieved June 10, 2026, from https://docs.bitdao.io/","The official BitDAO documentation states that 'BitDAO is not a company. It does not have a management team or employees.' As a Decentralized Autonomous Organization (DAO), it does not have a traditional physical headquarters."
Near Protocol (NEAR),Switzerland,Not Verified,Foundation Location,"NEAR Foundation. (n.d.). NEAR Foundation. Retrieved June 10, 2026, from https://near.foundation/","The NEAR Foundation website explicitly states, 'We are a non-profit organization based in Switzerland.' This indicates the foundation's location."
