City,Country,Number of Projects,Total Funds Raised (USD),Included Projects,Funds Raised Resource,City/Country Verification Resources,Coordinate/Mapping Resource,Aggregation Method
Calgary,Canada,1,4250000000,"Vaulta (prev. EOS) (EOS) ($4,250,000,000)",CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Vaulta (prev. EOS) (EOS): Vaulta Foundation. (n.d.). Vaulta Foundation [LinkedIn page]. LinkedIn. Retrieved June 10, 2026, from https://www.linkedin.com/company/vaulta-foundation","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified.",Number of Projects counts included project records for this city-country pair; Total Funds Raised sums project-level funds.
Not Verified,Not Verified,3,2007030000,"Terra Classic (LUNC) ($1,200,000,000) | BitDAO (BIT) ($623,270,000) | Aztec (AZTEC) ($183,760,000)",CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Terra Classic (LUNC): Terra Classic. (n.d.). Terra Classic. Retrieved June 10, 2026, from https://terra-classic.money/ | BitDAO (BIT): BitDAO. (n.d.). BitDAO documentation. Retrieved June 10, 2026, from https://docs.bitdao.io/ | Aztec (AZTEC): Aztec Network. (n.d.). Aztec Network. Retrieved June 10, 2026, from https://aztec.network/",Not applicable: latitude and longitude are blank because both country and city were coded as Not Verified under the research protocol.,Number of Projects counts included project records for this city-country pair; Total Funds Raised sums project-level funds.
Saint John's,Antigua and Barbuda,1,1750000000,"FTX Token (FTT) ($1,750,000,000)",CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"FTX Token (FTT): U.S. Securities and Exchange Commission. (2021, November 2). Form D: Notice of exempt offering of securities, FTX Trading Ltd. https://www.sec.gov/Archives/edgar/data/1876386/000187638621000002/xslFormDX01/primary_doc.xml","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified.",Number of Projects counts included project records for this city-country pair; Total Funds Raised sums project-level funds.
Zug,Switzerland,4,1341210000,"Polkadot (DOT) ($510,830,000) | Solana (SOL) ($359,550,000) | Tezos (XTZ) ($286,000,000) | Zama (ZAMA) ($184,830,000)",CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Polkadot (DOT): Web3 Foundation. (n.d.). Legal disclosures. Retrieved June 10, 2026, from https://web3.foundation/legal-disclosures/; Crunchbase. (n.d.). Web3 Foundation company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/web3-foundation | Solana (SOL): Solana Foundation. (n.d.). Solana Foundation. Retrieved June 10, 2026, from https://solana.org/ | Tezos (XTZ): Tezos Foundation. (n.d.). About us. Retrieved June 10, 2026, from https://tezos.foundation/about-us/; Tezos Foundation. (n.d.). Tezos Foundation [LinkedIn page]. LinkedIn. Retrieved June 10, 2026, from https://www.linkedin.com/company/tezosfoundation/ | Zama (ZAMA): Crunchbase. (n.d.). Zama company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/zama-aa23","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified.",Number of Projects counts included project records for this city-country pair; Total Funds Raised sums project-level funds.
Solana Beach,United States,1,1330000000,"pump.fun (PUMP) ($1,330,000,000)",CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"pump.fun (PUMP): PitchBook. (n.d.). Pump.fun company profile. PitchBook. Retrieved June 10, 2026, from https://pitchbook.com/profiles/company/593602-12","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified.",Number of Projects counts included project records for this city-country pair; Total Funds Raised sums project-level funds.
Vancouver,Canada,2,1064830000,"Flow (FLOW) ($746,500,000) | LayerZero (ZRO) ($318,330,000)",CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Flow (FLOW): GlobalData. (n.d.). Dapper Labs Inc company profile. GlobalData. Retrieved June 10, 2026, from https://www.globaldata.com/company-profile/dapper-labs-inc/ | LayerZero (ZRO): Crunchbase. (n.d.). LayerZero Labs company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/layerzero-labs","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified.",Number of Projects counts included project records for this city-country pair; Total Funds Raised sums project-level funds.
Wilmington,United States,2,1058140000,"Celsius (CEL) ($908,100,000) | H2O Securities (H2ON) ($150,040,000)",CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Celsius (CEL): Celsius Network LLC. (n.d.). Celsius Network. Retrieved June 10, 2026, from https://celsius.network/ | H2O Securities (H2ON): H2O Securities. (n.d.). H2O Securities. Retrieved June 10, 2026, from https://www.h2o-securities.com/","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified.",Number of Projects counts included project records for this city-country pair; Total Funds Raised sums project-level funds.
Taipei,Taiwan,1,1000000000,"UNUS SED LEO (LEO) ($1,000,000,000)",CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"UNUS SED LEO (LEO): Crunchbase. (n.d.). Bitfinex company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/bitfinex","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified.",Number of Projects counts included project records for this city-country pair; Total Funds Raised sums project-level funds.
New York,United States,3,968500000,"Avalanche (AVAX) ($577,700,000) | Republic (NOTE) ($202,000,000) | Uniswap (UNI) ($188,800,000)",CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Avalanche (AVAX): Crunchbase. (n.d.). Ava Labs company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/ava-labs | Republic (NOTE): Crunchbase. (n.d.). Republic company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/republic-co; Republic. (n.d.). Contact. Retrieved June 10, 2026, from https://republic.com/contact | Uniswap (UNI): Uniswap Labs. (n.d.). About Uniswap Labs. Retrieved June 10, 2026, from https://about.uniswap.org/","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified.",Number of Projects counts included project records for this city-country pair; Total Funds Raised sums project-level funds.
San Francisco,United States,5,893170000,"Tribal Token (TRIBL) ($219,390,000) | Filecoin (FIL) ($205,920,000) | Blur (BLUR) ($164,000,000) | Braintrust (BTRST) ($159,860,000) | Cere Network (CERE) ($144,000,000)",CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Tribal Token (TRIBL): Crunchbase. (n.d.). Tribal company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/tribalcredit | Filecoin (FIL): Crunchbase. (n.d.). Filecoin Foundation company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/filecoin-foundation | Blur (BLUR): Crunchbase. (n.d.). Blur company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/blur-d734 | Braintrust (BTRST): Crunchbase. (n.d.). Braintrust company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/braintrust-bac9 | Cere Network (CERE): Crunchbase. (n.d.). Cere Network company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/cere-network","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified.",Number of Projects counts included project records for this city-country pair; Total Funds Raised sums project-level funds.
