Project,Country,Region,City,Latitude,Longitude,Funds Raised (USD),Funds Raised Resource,Country/City Verification Resource,Location Evidence Note,Region Classification Resource,Coordinate Resource
Vaulta (prev. EOS) (EOS),Canada,North America,Calgary,51.044700,-114.071900,4250000000,CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Vaulta Foundation. (n.d.). Vaulta Foundation [LinkedIn page]. LinkedIn. Retrieved June 10, 2026, from https://www.linkedin.com/company/vaulta-foundation","The Vaulta Foundation LinkedIn page lists the organization’s headquarters as Calgary, Alberta, Canada. This replaces the prior X-profile evidence because LinkedIn provides a specific headquarters field and city-level location.","United Nations Statistics Division. (n.d.). Standard country or area codes for statistical use (M49). United Nations. Retrieved June 10, 2026, from https://unstats.un.org/unsd/methodology/m49/; Research protocol fixed seven-region classification: North America, South America, Europe, Asia, Africa, Oceania, Caribbean; unverified locations coded as Not Classified.","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified."
FTX Token (FTT),Antigua and Barbuda,Caribbean,Saint John's,17.127400,-61.846800,1750000000,CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"U.S. Securities and Exchange Commission. (2021, November 2). Form D: Notice of exempt offering of securities, FTX Trading Ltd. https://www.sec.gov/Archives/edgar/data/1876386/000187638621000002/xslFormDX01/primary_doc.xml","The SEC Form D filing for FTX Trading Ltd. lists the jurisdiction of incorporation/organization as Antigua and Barbuda and gives Saint John's, Antigua and Barbuda as the principal place of business/contact location. Because the research protocol prioritizes legal headquarters where available, this legal filing is used as the verified location evidence.","United Nations Statistics Division. (n.d.). Standard country or area codes for statistical use (M49). United Nations. Retrieved June 10, 2026, from https://unstats.un.org/unsd/methodology/m49/; Research protocol fixed seven-region classification: North America, South America, Europe, Asia, Africa, Oceania, Caribbean; unverified locations coded as Not Classified.","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified."
pump.fun (PUMP),United States,North America,Solana Beach,32.991200,-117.271100,1330000000,CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"PitchBook. (n.d.). Pump.fun company profile. PitchBook. Retrieved June 10, 2026, from https://pitchbook.com/profiles/company/593602-12","PitchBook states that Pump.Fun is headquartered in Solana Beach, CA. This is considered the operational headquarters.","United Nations Statistics Division. (n.d.). Standard country or area codes for statistical use (M49). United Nations. Retrieved June 10, 2026, from https://unstats.un.org/unsd/methodology/m49/; Research protocol fixed seven-region classification: North America, South America, Europe, Asia, Africa, Oceania, Caribbean; unverified locations coded as Not Classified.","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified."
Terra Classic (LUNC),Not Verified,Not Classified,Not Verified,,,1200000000,CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Terra Classic. (n.d.). Terra Classic. Retrieved June 10, 2026, from https://terra-classic.money/","The Terra Classic official website states that it is a community-governed, decentralized network with no single company or central authority. Therefore, a traditional headquarters location cannot be identified.","United Nations Statistics Division. (n.d.). Standard country or area codes for statistical use (M49). United Nations. Retrieved June 10, 2026, from https://unstats.un.org/unsd/methodology/m49/; Research protocol fixed seven-region classification: North America, South America, Europe, Asia, Africa, Oceania, Caribbean; unverified locations coded as Not Classified.",Not applicable: latitude and longitude are blank because both country and city were coded as Not Verified under the research protocol.
UNUS SED LEO (LEO),Taiwan,Asia,Taipei,25.033000,121.565400,1000000000,CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Crunchbase. (n.d.). Bitfinex company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/bitfinex","Crunchbase profile for Bitfinex, the parent company of UNUS SED LEO, lists Taipei, Taiwan as its headquarters. This indicates the operational headquarters for the project.","United Nations Statistics Division. (n.d.). Standard country or area codes for statistical use (M49). United Nations. Retrieved June 10, 2026, from https://unstats.un.org/unsd/methodology/m49/; Research protocol fixed seven-region classification: North America, South America, Europe, Asia, Africa, Oceania, Caribbean; unverified locations coded as Not Classified.","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified."
Celsius (CEL),United States,North America,Wilmington,39.739100,-75.539800,908100000,CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Celsius Network LLC. (n.d.). Celsius Network. Retrieved June 10, 2026, from https://celsius.network/","The official Celsius Network website lists a registered office for legal, regulatory, and compliance matters at 1209 Orange Street, Wilmington, Delaware 19801. This official legal-contact address is used as the verified legal-headquarters evidence.","United Nations Statistics Division. (n.d.). Standard country or area codes for statistical use (M49). United Nations. Retrieved June 10, 2026, from https://unstats.un.org/unsd/methodology/m49/; Research protocol fixed seven-region classification: North America, South America, Europe, Asia, Africa, Oceania, Caribbean; unverified locations coded as Not Classified.","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified."
Flow (FLOW),Canada,North America,Vancouver,49.282700,-123.120700,746500000,CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"GlobalData. (n.d.). Dapper Labs Inc company profile. GlobalData. Retrieved June 10, 2026, from https://www.globaldata.com/company-profile/dapper-labs-inc/","Multiple sources confirm Dapper Labs, the creator of Flow, is headquartered in Vancouver, British Columbia, Canada. This is considered the operational headquarters for the Flow project.","United Nations Statistics Division. (n.d.). Standard country or area codes for statistical use (M49). United Nations. Retrieved June 10, 2026, from https://unstats.un.org/unsd/methodology/m49/; Research protocol fixed seven-region classification: North America, South America, Europe, Asia, Africa, Oceania, Caribbean; unverified locations coded as Not Classified.","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified."
World Liberty Financial (WLFI),United States,North America,Washington,38.907200,-77.036900,715080000,CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"World Liberty Financial. (n.d.). Gold paper [PDF]. Retrieved June 10, 2026, from https://static.worldlibertyfinancial.com/docs/intl/gold-paper.pdf","The Gold Paper states: 'WLF, a Delaware nonstock corporation owns, is developing and will operate the WLF Protocol... By design, World Liberty Financial is not organized offshore. World Liberty Financial is an American, tax-paying, corporation that aims to bring DeFi to its rightful home – America.' This indicates the legal headquarters is in the United States. While Delaware is mentioned as the state of incorporation, a specific city is not provided.","United Nations Statistics Division. (n.d.). Standard country or area codes for statistical use (M49). United Nations. Retrieved June 10, 2026, from https://unstats.un.org/unsd/methodology/m49/; Research protocol fixed seven-region classification: North America, South America, Europe, Asia, Africa, Oceania, Caribbean; unverified locations coded as Not Classified.","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified."
BitDAO (BIT),Not Verified,Not Classified,Not Verified,,,623270000,CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"BitDAO. (n.d.). BitDAO documentation. Retrieved June 10, 2026, from https://docs.bitdao.io/","The official BitDAO documentation states that 'BitDAO is not a company. It does not have a management team or employees.' As a Decentralized Autonomous Organization (DAO), it does not have a traditional physical headquarters.","United Nations Statistics Division. (n.d.). Standard country or area codes for statistical use (M49). United Nations. Retrieved June 10, 2026, from https://unstats.un.org/unsd/methodology/m49/; Research protocol fixed seven-region classification: North America, South America, Europe, Asia, Africa, Oceania, Caribbean; unverified locations coded as Not Classified.",Not applicable: latitude and longitude are blank because both country and city were coded as Not Verified under the research protocol.
Near Protocol (NEAR),Switzerland,Europe,Bern,46.948000,7.447400,607430000,CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"NEAR Foundation. (n.d.). NEAR Foundation. Retrieved June 10, 2026, from https://near.foundation/","The NEAR Foundation website explicitly states, 'We are a non-profit organization based in Switzerland.' This indicates the foundation's location.","United Nations Statistics Division. (n.d.). Standard country or area codes for statistical use (M49). United Nations. Retrieved June 10, 2026, from https://unstats.un.org/unsd/methodology/m49/; Research protocol fixed seven-region classification: North America, South America, Europe, Asia, Africa, Oceania, Caribbean; unverified locations coded as Not Classified.","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified."
